availability_id,availability_30,availability_60,availability_90,availability_365,listing_id
96,0,27,57,332,NULL
97,11,35,57,257,NULL
98,8,35,65,159,NULL
99,30,60,90,365,NULL
100,12,25,42,192,NULL
101,14,37,64,312,NULL
102,5,13,41,278,NULL
103,30,60,90,349,NULL
104,0,0,0,0,NULL
105,2,2,2,17,NULL
106,13,29,57,323,NULL
107,28,32,32,32,NULL
108,4,10,12,132,NULL
109,29,59,89,364,NULL
110,28,58,88,363,NULL
111,4,31,61,278,NULL
112,5,7,7,184,NULL
113,21,24,34,281,NULL
114,27,57,87,177,NULL
115,30,60,90,365,NULL
116,0,0,0,0,NULL
117,26,47,77,168,NULL
118,21,42,72,347,NULL
119,27,57,87,362,NULL
120,13,43,66,333,NULL
121,22,26,26,240,NULL
122,0,0,0,0,NULL
123,0,0,0,185,NULL
124,8,15,15,113,NULL
125,10,39,61,250,NULL
126,13,43,73,348,NULL
127,28,58,88,363,NULL
128,0,0,0,155,NULL
129,19,49,79,259,NULL
130,23,53,83,358,NULL
131,23,53,83,358,NULL
132,10,36,62,304,NULL
133,6,34,60,298,NULL
134,11,41,71,346,NULL
135,29,59,89,364,NULL
136,22,50,80,355,NULL
137,19,40,70,305,NULL
138,0,0,0,0,NULL
139,11,41,71,346,NULL
140,21,22,22,22,NULL
141,5,32,62,288,NULL
142,3,23,24,36,NULL
143,0,0,0,0,NULL
144,7,7,11,263,NULL
145,5,30,60,251,NULL
146,7,36,56,327,NULL
147,28,58,88,178,NULL
148,11,16,16,196,NULL
149,18,48,78,350,NULL
150,19,49,79,354,NULL
151,28,58,88,363,NULL
152,28,32,32,214,NULL
153,10,10,10,209,NULL
154,28,58,88,363,NULL
155,24,49,76,341,NULL
156,28,58,88,363,NULL
157,24,54,84,343,NULL
158,19,49,79,323,NULL
159,8,35,57,215,NULL
160,0,0,0,273,NULL
161,11,41,71,74,NULL
162,5,13,37,201,NULL
163,17,47,76,351,NULL
164,9,13,13,102,NULL
165,0,0,0,0,NULL
166,13,43,73,313,NULL
167,9,21,51,230,NULL
168,29,59,89,332,NULL
169,30,32,32,304,NULL
170,1,23,53,328,NULL
171,6,36,66,82,NULL
172,27,32,32,183,NULL
173,0,0,0,0,NULL
174,0,0,0,0,NULL
175,17,45,75,350,NULL
176,23,53,83,358,NULL
177,28,58,88,363,NULL
178,30,60,90,365,NULL
179,23,53,83,173,NULL
180,30,32,32,304,NULL
181,27,30,30,32,NULL
182,12,41,71,251,NULL
183,28,58,88,363,NULL
184,9,39,69,344,NULL
185,20,50,80,355,NULL
186,11,34,64,272,NULL
187,30,60,90,365,NULL
188,0,0,0,0,NULL
189,7,12,35,256,NULL
190,29,31,31,208,NULL
191,16,46,76,338,NULL
192,29,59,89,364,NULL
193,16,46,76,351,NULL
194,20,50,80,355,NULL
195,20,45,48,117,NULL
196,1,28,58,62,NULL
197,21,23,23,205,NULL
198,17,47,77,231,NULL
199,17,19,19,19,NULL
200,30,60,90,365,NULL
201,4,26,56,324,NULL
202,30,60,90,365,NULL
203,8,24,54,329,NULL
204,5,29,59,334,NULL
205,28,58,88,363,NULL
206,18,48,78,353,NULL
207,27,57,87,362,NULL
208,29,59,89,364,NULL
209,30,60,90,365,NULL
210,0,0,0,271,NULL
211,0,0,0,4,NULL
212,11,41,71,329,NULL
213,0,0,0,0,NULL
214,0,0,0,0,NULL
215,29,59,89,364,NULL
216,0,0,6,248,NULL
217,0,0,0,0,NULL
218,4,20,37,85,NULL
219,1,9,39,245,NULL
220,27,57,87,362,NULL
221,30,60,90,365,NULL
222,18,48,78,342,NULL
223,6,23,39,87,NULL
224,29,59,89,364,NULL
225,29,33,33,33,NULL
226,23,53,83,353,NULL
227,0,6,6,177,NULL
228,30,60,90,365,NULL
229,0,0,0,0,NULL
230,29,59,89,364,NULL
231,30,60,90,365,NULL
232,25,35,35,122,NULL
233,25,55,85,360,NULL
234,23,53,83,358,NULL
235,29,59,89,364,NULL
236,26,56,86,90,NULL
237,13,42,63,72,NULL
238,2,7,7,182,NULL
239,30,60,90,365,NULL
240,29,48,48,48,NULL
241,28,58,79,320,NULL
242,12,37,39,39,NULL
243,0,0,0,0,NULL
244,28,58,88,363,NULL
245,30,60,90,365,NULL
246,29,32,32,32,NULL
247,25,53,83,85,NULL
248,0,0,0,273,NULL
249,29,59,89,364,NULL
250,29,59,89,118,NULL
251,8,34,52,320,NULL
252,26,30,30,86,NULL
253,30,60,90,365,NULL
254,28,58,88,363,NULL
255,0,0,1,272,NULL
256,7,9,9,136,NULL
257,4,34,55,65,NULL
258,23,53,83,263,NULL
259,2,32,62,337,NULL
260,0,27,57,332,NULL
261,24,54,84,238,NULL
262,5,5,5,188,NULL
263,12,42,72,347,NULL
264,0,26,56,331,NULL
265,18,48,78,353,NULL
266,0,0,0,0,NULL
267,30,60,90,365,NULL
268,30,60,90,357,NULL
269,0,0,0,0,NULL
270,29,59,89,364,NULL
271,30,60,90,365,NULL
272,20,25,25,296,NULL
273,15,45,75,336,NULL
274,28,57,81,345,NULL
275,30,60,90,365,NULL
276,11,41,71,279,NULL
277,10,10,10,10,NULL
278,9,39,63,311,NULL
279,30,32,32,304,NULL
280,26,56,86,361,NULL
281,30,60,90,365,NULL
282,29,59,89,364,NULL
283,0,0,0,60,NULL
284,0,0,0,0,NULL
285,30,60,90,365,NULL
286,0,0,0,90,NULL
287,0,0,0,0,NULL
288,15,45,75,219,NULL
289,0,0,0,0,NULL
290,12,42,72,346,NULL
291,10,40,70,250,NULL
292,14,43,63,151,NULL
293,25,55,85,360,NULL
294,12,32,57,327,NULL
295,0,28,58,333,NULL
296,30,60,90,365,NULL
297,30,60,90,365,NULL
298,29,59,89,364,NULL
299,27,57,87,362,NULL
300,0,0,0,0,NULL
301,0,0,0,155,NULL
302,17,47,77,352,NULL
303,23,53,83,229,NULL
304,11,35,37,37,NULL
305,0,0,0,155,NULL
306,30,60,90,365,NULL
307,4,8,8,50,NULL
308,22,52,82,350,NULL
309,26,56,86,361,NULL
310,26,51,81,356,NULL
311,15,43,70,345,NULL
312,26,47,77,352,NULL
313,0,0,0,0,NULL
314,5,23,50,318,NULL
315,23,53,83,358,NULL
316,30,60,90,350,NULL
317,29,59,89,364,NULL
318,0,0,0,87,NULL
319,15,45,75,350,NULL
320,10,40,70,338,NULL
321,18,47,77,352,NULL
322,28,33,33,205,NULL
323,24,54,84,358,NULL
324,11,41,71,346,NULL
325,30,60,90,365,NULL
326,28,58,88,363,NULL
327,9,35,65,330,NULL
328,18,29,29,241,NULL
329,0,0,0,0,NULL
330,29,59,89,364,NULL
331,29,59,89,269,NULL
332,28,58,88,363,NULL
333,14,42,72,345,NULL
334,22,52,82,357,NULL
335,30,60,88,357,NULL
336,0,0,0,0,NULL
337,28,58,88,363,NULL
338,30,32,32,103,NULL
339,28,58,88,181,NULL
340,28,58,88,363,NULL
341,0,0,0,0,NULL
342,11,14,14,208,NULL
343,6,30,51,127,NULL
344,19,49,79,353,NULL
345,0,0,0,185,NULL
346,0,0,0,0,NULL
347,29,59,89,364,NULL
348,25,28,28,191,NULL
349,28,58,88,348,NULL
350,14,14,14,191,NULL
351,0,28,58,325,NULL
352,0,0,0,0,NULL
353,30,60,90,267,NULL
354,25,55,85,360,NULL
355,28,58,88,363,NULL
356,13,16,16,138,NULL
357,0,0,0,0,NULL
358,0,0,0,0,NULL
359,0,0,0,0,NULL
360,0,0,0,0,NULL
361,0,0,0,0,NULL
362,0,0,0,51,NULL
363,10,12,12,12,NULL
364,29,59,89,364,NULL
365,22,52,82,357,NULL
366,21,51,81,356,NULL
367,27,57,87,362,NULL
368,0,0,0,241,NULL
369,29,59,89,364,NULL
370,29,59,89,364,NULL
371,0,0,0,0,NULL
372,16,26,26,26,NULL
373,30,60,90,365,NULL
374,10,40,70,283,NULL
375,29,59,89,121,NULL
376,5,12,12,12,NULL
377,26,32,32,213,NULL
378,0,30,60,149,NULL
379,22,24,24,142,NULL
380,22,45,75,334,NULL
381,21,51,81,347,NULL
382,24,54,84,359,NULL
383,4,4,4,195,NULL
384,11,23,49,306,NULL
385,27,57,87,362,NULL
386,30,60,90,365,NULL
387,28,58,88,363,NULL
388,23,53,83,263,NULL
389,27,30,30,301,NULL
390,7,26,56,331,NULL
391,17,47,49,224,NULL
392,13,28,52,231,NULL
393,18,48,78,330,NULL
394,0,0,0,0,NULL
395,27,57,87,362,NULL
396,27,57,87,362,NULL
397,30,60,90,365,NULL
398,11,11,11,11,NULL
399,0,0,0,0,NULL
400,0,0,0,0,NULL
401,4,11,11,91,NULL
402,0,0,0,0,NULL
403,23,53,83,175,NULL
404,28,58,88,363,NULL
405,0,0,0,0,NULL
406,7,7,7,188,NULL
407,10,13,42,315,NULL
408,29,59,89,179,NULL
409,7,7,7,7,NULL
410,30,60,90,365,NULL
411,7,30,57,332,NULL
412,0,0,0,0,NULL
413,0,0,0,0,NULL
414,27,57,87,362,NULL
415,29,33,33,33,NULL
416,15,45,75,348,NULL
417,24,54,84,175,NULL
418,25,55,85,102,NULL
419,30,60,90,365,NULL
420,30,60,90,365,NULL
421,30,60,90,162,NULL
422,0,0,0,69,NULL
423,1,24,54,311,NULL
424,19,49,79,351,NULL
425,29,59,89,364,NULL
426,22,52,82,357,NULL
427,24,54,84,359,NULL
428,0,13,33,192,NULL
429,22,36,37,251,NULL
430,25,55,75,163,NULL
431,22,52,61,336,NULL
432,25,55,85,102,NULL
433,17,44,74,346,NULL
434,17,47,77,257,NULL
435,1,1,1,105,NULL
436,30,60,90,365,NULL
437,0,0,0,270,NULL
438,30,60,90,365,NULL
439,30,60,90,365,NULL
440,0,0,0,240,NULL
441,29,59,89,364,NULL
442,30,60,90,365,NULL
443,22,52,82,357,NULL
444,9,19,19,19,NULL
445,0,0,0,271,NULL
446,28,58,88,178,NULL
447,0,0,0,273,NULL
448,21,51,81,356,NULL
449,30,60,90,365,NULL
450,0,0,0,271,NULL
451,25,55,85,360,NULL
452,24,54,84,270,NULL
453,2,32,60,323,NULL
454,30,60,90,365,NULL
455,6,8,26,252,NULL
456,27,28,28,150,NULL
457,16,31,31,32,NULL
458,28,51,52,272,NULL
459,0,0,0,0,NULL
460,0,0,0,0,NULL
461,0,0,0,0,NULL
462,0,0,0,0,NULL
463,29,59,89,364,NULL
464,0,22,52,114,NULL
465,12,34,36,288,NULL
466,20,50,80,350,NULL
467,23,53,83,358,NULL
468,10,36,66,337,NULL
469,29,32,32,32,NULL
470,29,59,89,364,NULL
471,16,46,76,169,NULL
472,26,56,79,343,NULL
473,20,24,53,294,NULL
474,30,60,90,365,NULL
475,30,60,90,365,NULL
476,2,28,58,61,NULL
477,21,24,24,24,NULL
478,5,6,6,33,NULL
479,29,59,89,364,NULL
480,7,30,50,237,NULL
481,29,59,89,364,NULL
482,0,0,0,240,NULL
483,0,11,41,41,NULL
484,8,21,51,326,NULL
485,0,0,0,0,NULL
486,0,0,0,0,NULL
487,26,56,86,361,NULL
488,20,20,20,20,NULL
489,16,28,58,333,NULL
490,18,43,68,100,NULL
491,14,43,70,337,NULL
492,20,44,69,81,NULL
493,0,0,0,0,NULL
494,12,42,72,347,NULL
495,27,57,87,362,NULL
496,0,0,0,0,NULL
497,26,49,74,128,NULL
498,19,49,79,354,NULL
499,22,52,82,354,NULL
500,13,30,60,326,NULL
501,17,47,77,352,NULL
502,30,60,90,316,NULL
503,29,59,89,364,NULL
504,22,25,25,191,NULL
505,30,60,90,365,NULL
506,29,59,89,179,NULL
507,13,43,73,344,NULL
508,0,0,0,0,NULL
509,0,0,0,0,NULL
510,18,48,78,353,NULL
511,23,53,83,358,NULL
512,0,0,0,152,NULL
513,26,56,86,361,NULL
514,29,59,89,364,NULL
515,11,41,71,342,NULL
516,21,51,81,356,NULL
517,16,46,76,331,NULL
518,0,21,51,312,NULL
519,3,24,44,288,NULL
520,23,53,83,263,NULL
521,9,19,49,297,NULL
522,0,12,33,145,NULL
523,6,32,60,335,NULL
524,14,44,74,255,NULL
525,13,43,46,46,NULL
526,30,60,90,365,NULL
527,14,44,74,349,NULL
528,3,29,59,334,NULL
529,27,57,87,362,NULL
530,29,59,89,179,NULL
531,0,0,0,0,NULL
532,8,38,68,340,NULL
533,17,47,48,263,NULL
534,23,53,83,173,NULL
535,30,42,59,285,NULL
536,21,51,81,356,NULL
537,4,22,52,55,NULL
538,0,0,0,238,NULL
539,0,0,0,271,NULL
540,23,53,83,358,NULL
541,29,59,89,364,NULL
542,0,0,27,240,NULL
543,11,13,13,165,NULL
544,5,23,44,274,NULL
545,26,56,86,361,NULL
546,20,36,64,339,NULL
547,29,59,89,89,NULL
548,24,54,84,86,NULL
549,28,58,88,89,NULL
550,29,59,89,364,NULL
551,25,55,85,360,NULL
552,3,31,61,249,NULL
553,16,46,48,230,NULL
554,28,58,88,363,NULL
555,23,53,83,238,NULL
556,10,40,70,160,NULL
557,19,28,28,221,NULL
558,30,60,90,365,NULL
559,21,51,81,91,NULL
560,30,60,90,365,NULL
561,18,48,78,347,NULL
562,16,46,76,302,NULL
563,22,52,82,262,NULL
564,11,41,64,286,NULL
565,8,34,64,67,NULL
566,19,49,68,71,NULL
567,4,31,61,241,NULL
568,11,41,64,307,NULL
569,0,0,0,0,NULL
570,23,53,83,358,NULL
571,21,51,81,356,NULL
572,29,59,89,269,NULL
573,30,53,83,307,NULL
574,30,53,83,307,NULL
575,26,56,86,361,NULL
576,23,53,83,358,NULL
577,4,34,64,243,NULL
578,21,51,81,356,NULL
579,10,26,27,232,NULL
580,29,59,89,364,NULL
581,10,40,70,283,NULL
582,10,40,70,283,NULL
583,8,33,60,333,NULL
584,26,56,86,267,NULL
585,14,44,74,287,NULL
586,30,60,90,365,NULL
587,30,60,90,365,NULL
588,30,60,90,90,NULL
589,23,53,83,358,NULL
590,12,15,15,17,NULL
591,4,5,5,50,NULL
592,23,53,83,358,NULL
593,17,47,77,98,NULL
594,17,47,77,352,NULL
595,8,36,66,69,NULL
596,23,53,83,237,NULL
597,18,48,78,232,NULL
598,0,9,39,291,NULL
599,17,47,77,231,NULL
600,17,47,77,231,NULL
601,17,47,77,231,NULL
602,17,47,77,231,NULL
603,18,48,78,232,NULL
604,16,46,76,351,NULL
605,3,3,3,27,NULL
606,15,45,75,334,NULL
607,11,41,71,346,NULL
608,0,0,0,0,NULL
609,30,60,90,365,NULL
610,0,20,50,65,NULL
611,0,27,57,332,NULL
612,17,47,77,346,NULL
613,30,60,90,365,NULL
614,29,59,89,364,NULL
615,2,2,2,2,NULL
616,26,56,86,361,NULL
617,5,32,62,232,NULL
618,28,58,88,363,NULL
619,23,53,55,55,NULL
620,9,34,64,79,NULL
621,0,0,0,0,NULL
622,1,1,1,105,NULL
623,0,0,0,0,NULL
624,8,10,37,285,NULL
625,29,59,89,364,NULL
626,23,53,83,358,NULL
627,14,44,74,255,NULL
628,30,60,90,365,NULL
629,30,60,90,365,NULL
630,15,33,63,326,NULL
631,14,14,14,206,NULL
632,16,16,16,209,NULL
633,1,29,46,265,NULL
634,11,11,11,185,NULL
635,16,16,16,208,NULL
636,21,51,81,171,NULL
637,29,59,89,364,NULL
638,0,0,0,213,NULL
639,16,28,28,235,NULL
640,28,58,88,363,NULL
641,0,0,0,0,NULL
642,28,58,88,262,NULL
643,30,60,90,365,NULL
644,28,58,88,363,NULL
645,24,54,84,175,NULL
646,26,56,86,176,NULL
647,30,60,90,365,NULL
648,22,52,82,343,NULL
649,29,59,89,364,NULL
650,23,51,81,261,NULL
651,10,35,65,340,NULL
652,16,43,73,75,NULL
653,19,30,30,30,NULL
654,0,0,0,91,NULL
655,17,47,77,352,NULL
656,27,57,87,362,NULL
657,29,59,89,364,NULL
658,1,1,1,122,NULL
659,30,60,90,365,NULL
660,20,50,80,355,NULL
661,19,49,79,259,NULL
662,29,52,53,259,NULL
663,8,38,68,343,NULL
664,12,42,72,162,NULL
665,0,0,0,0,NULL
666,30,60,90,365,NULL
667,30,60,90,365,NULL
668,6,33,35,35,NULL
669,18,47,77,321,NULL
670,0,0,0,0,NULL
671,29,59,89,364,NULL
672,25,55,85,360,NULL
673,9,35,65,309,NULL
674,14,44,74,258,NULL
675,14,14,14,104,NULL
676,25,55,85,320,NULL
677,14,44,67,210,NULL
678,29,59,89,364,NULL
679,0,0,0,0,NULL
680,0,0,0,91,NULL
681,30,32,32,198,NULL
682,10,40,70,250,NULL
683,0,0,0,0,NULL
684,17,44,72,243,NULL
685,16,16,16,16,NULL
686,12,24,24,221,NULL
687,0,0,0,0,NULL
688,29,59,89,364,NULL
689,29,59,89,263,NULL
690,28,58,88,92,NULL
691,29,59,89,263,NULL
692,28,58,88,179,NULL
693,14,33,63,311,NULL
694,29,59,89,364,NULL
695,27,57,87,331,NULL
696,27,57,87,362,NULL
697,28,58,88,268,NULL
698,27,57,87,177,NULL
699,0,0,0,260,NULL
700,27,57,87,180,NULL
701,29,59,89,364,NULL
702,30,60,90,365,NULL
703,21,51,81,355,NULL
704,8,26,47,312,NULL
705,11,40,70,345,NULL
706,0,0,0,0,NULL
707,0,0,0,0,NULL
708,0,0,0,0,NULL
709,21,51,81,356,NULL
710,20,20,20,158,NULL
711,0,0,0,0,NULL
712,2,25,26,293,NULL
713,0,0,0,176,NULL
714,0,0,0,0,NULL
715,0,0,0,0,NULL
716,0,0,0,0,NULL
717,20,43,69,255,NULL
718,22,52,82,173,NULL
719,30,54,84,359,NULL
720,3,20,46,318,NULL
721,26,27,27,27,NULL
722,30,60,90,365,NULL
723,0,0,0,86,NULL
724,8,38,68,242,NULL
725,29,59,89,364,NULL
726,0,29,59,301,NULL
727,29,55,85,358,NULL
728,10,40,70,345,NULL
729,16,16,16,16,NULL
730,8,8,8,8,NULL
731,30,60,90,365,NULL
732,11,15,15,148,NULL
733,13,43,45,45,NULL
734,23,53,83,358,NULL
735,29,59,89,364,NULL
736,24,48,73,81,NULL
737,15,43,72,330,NULL
738,10,33,34,34,NULL
739,4,27,28,28,NULL
740,0,0,0,0,NULL
741,9,34,64,187,NULL
742,0,0,0,172,NULL
743,10,33,63,338,NULL
744,6,36,66,68,NULL
745,29,59,89,364,NULL
746,0,0,0,0,NULL
747,16,46,76,166,NULL
748,9,37,66,217,NULL
749,0,0,0,0,NULL
750,30,60,90,365,NULL
751,28,43,73,318,NULL
752,13,33,41,289,NULL
753,21,51,81,356,NULL
754,0,0,0,235,NULL
755,6,32,60,306,NULL
756,0,0,0,61,NULL
757,11,28,55,323,NULL
758,3,21,45,270,NULL
759,23,53,83,358,NULL
760,28,58,88,363,NULL
761,8,8,8,189,NULL
762,29,59,89,364,NULL
763,9,39,40,254,NULL
764,12,28,58,307,NULL
765,0,0,0,272,NULL
766,25,28,28,243,NULL
767,0,0,0,173,NULL
768,3,33,56,289,NULL
769,12,15,15,227,NULL
770,28,58,88,363,NULL
771,30,32,60,150,NULL
772,29,59,89,364,NULL
773,12,41,71,278,NULL
774,29,59,89,336,NULL
775,10,24,54,329,NULL
776,17,37,67,310,NULL
777,29,59,89,364,NULL
778,30,60,88,363,NULL
779,15,40,42,42,NULL
780,30,60,90,365,NULL
781,30,60,90,365,NULL
782,0,0,0,219,NULL
783,29,59,89,364,NULL
784,29,59,89,364,NULL
785,9,36,64,279,NULL
786,20,37,37,37,NULL
787,9,34,57,241,NULL
788,9,36,42,226,NULL
789,30,60,90,365,NULL
790,3,24,54,282,NULL
791,6,27,30,210,NULL
792,30,60,90,365,NULL
793,29,59,89,364,NULL
794,29,59,89,364,NULL
795,29,59,89,364,NULL
796,0,0,0,154,NULL
797,0,1,31,216,NULL
798,30,60,90,365,NULL
799,29,59,89,102,NULL
800,19,49,51,51,NULL
801,22,47,68,337,NULL
802,0,0,0,0,NULL
803,20,22,22,233,NULL
804,19,23,23,105,NULL
805,14,44,74,332,NULL
806,16,46,76,267,NULL
807,2,2,2,274,NULL
808,26,56,58,268,NULL
809,14,44,46,249,NULL
810,29,59,89,364,NULL
811,28,30,30,207,NULL
812,29,32,32,213,NULL
813,24,54,84,359,NULL
814,30,60,90,365,NULL
815,29,59,89,364,NULL
816,18,48,78,232,NULL
817,11,15,15,180,NULL
818,4,20,45,48,NULL
819,0,0,0,272,NULL
820,27,57,87,362,NULL
821,28,58,61,144,NULL
822,30,60,90,365,NULL
823,11,41,56,86,NULL
824,13,30,30,30,NULL
825,29,59,89,364,NULL
826,30,60,90,362,NULL
827,6,13,13,144,NULL
828,0,0,0,145,NULL
829,29,59,89,364,NULL
830,28,31,58,179,NULL
831,1,1,1,1,NULL
832,27,30,57,178,NULL
833,28,30,58,179,NULL
834,2,2,2,88,NULL
835,0,0,0,152,NULL
836,30,60,90,365,NULL
837,7,37,67,244,NULL
838,14,44,74,160,NULL
839,0,0,0,0,NULL
840,15,45,75,350,NULL
841,4,5,5,166,NULL
842,29,59,89,364,NULL
843,9,39,64,329,NULL
844,24,51,81,325,NULL
845,28,58,88,363,NULL
846,8,28,56,331,NULL
847,2,2,2,2,NULL
848,25,44,71,346,NULL
849,20,50,52,324,NULL
850,22,52,82,357,NULL
851,0,28,58,238,NULL
852,12,22,22,174,NULL
853,30,60,90,365,NULL
854,30,60,90,365,NULL
855,21,51,81,356,NULL
856,23,53,56,56,NULL
857,2,11,16,244,NULL
858,9,34,36,208,NULL
859,0,0,0,0,NULL
860,29,59,89,364,NULL
861,17,47,74,137,NULL
862,0,0,0,271,NULL
863,15,45,75,206,NULL
864,30,60,90,365,NULL
865,0,5,35,189,NULL
866,12,12,12,12,NULL
867,28,58,88,363,NULL
868,16,46,76,348,NULL
869,27,57,87,362,NULL
870,30,60,90,365,NULL
871,28,58,88,363,NULL
872,0,0,0,0,NULL
873,13,40,70,156,NULL
874,23,53,83,358,NULL
875,0,0,0,0,NULL
876,0,0,0,0,NULL
877,5,32,62,337,NULL
878,23,24,24,225,NULL
879,7,30,60,279,NULL
880,27,57,59,59,NULL
881,29,59,79,262,NULL
882,29,59,89,364,NULL
883,15,45,70,335,NULL
884,23,53,83,358,NULL
885,29,59,89,123,NULL
886,23,53,83,358,NULL
887,30,60,90,365,NULL
888,13,39,42,152,NULL
889,12,42,70,341,NULL
890,28,58,88,363,NULL
891,23,53,83,358,NULL
892,0,0,0,86,NULL
893,0,0,0,86,NULL
894,3,3,3,200,NULL
895,0,0,0,0,NULL
896,5,33,63,294,NULL
897,28,58,85,360,NULL
898,27,57,87,362,NULL
899,27,57,87,362,NULL
900,0,0,0,0,NULL
901,0,12,20,131,NULL
902,18,44,67,67,NULL
903,0,0,0,271,NULL
904,0,0,0,273,NULL
905,0,0,0,195,NULL
906,28,58,88,363,NULL
907,0,0,0,0,NULL
908,11,34,64,339,NULL
909,16,18,18,18,NULL
910,26,36,36,36,NULL
911,26,56,86,276,NULL
912,29,59,89,364,NULL
913,17,47,77,352,NULL
914,0,0,0,105,NULL
915,14,44,74,348,NULL
916,30,60,90,365,NULL
917,30,60,90,365,NULL
918,18,48,78,353,NULL
919,30,60,90,365,NULL
920,1,2,2,2,NULL
921,0,0,0,181,NULL
922,0,0,0,0,NULL
923,24,52,82,107,NULL
924,0,0,0,0,NULL
925,28,58,88,363,NULL
926,6,20,47,311,NULL
927,19,47,77,348,NULL
928,0,0,0,143,NULL
929,0,7,37,267,NULL
930,11,29,51,283,NULL
931,30,60,90,365,NULL
932,29,59,89,364,NULL
933,20,50,80,305,NULL
934,21,23,23,94,NULL
935,30,60,90,341,NULL
936,30,32,32,214,NULL
937,22,49,79,347,NULL
938,29,59,89,364,NULL
939,1,1,1,92,NULL
940,14,44,74,304,NULL
941,11,41,71,292,NULL
942,14,44,47,197,NULL
943,0,0,0,0,NULL
944,5,9,9,207,NULL
945,28,58,88,363,NULL
946,4,23,53,323,NULL
947,0,22,52,146,NULL
948,24,27,27,179,NULL
949,29,40,40,40,NULL
950,30,48,48,48,NULL
951,29,59,89,364,NULL
952,27,57,87,360,NULL
953,5,21,44,293,NULL
954,11,41,63,288,NULL
955,29,59,89,364,NULL
956,26,36,64,329,NULL
957,29,59,89,364,NULL
958,3,16,42,42,NULL
959,0,0,0,0,NULL
960,29,59,89,364,NULL
961,10,29,56,310,NULL
962,8,8,35,289,NULL
963,8,38,68,343,NULL
964,24,54,84,203,NULL
965,29,59,89,364,NULL
966,5,31,58,306,NULL
967,30,60,90,365,NULL
968,29,59,89,179,NULL
969,7,31,42,42,NULL
970,27,57,87,362,NULL
971,0,27,57,147,NULL
972,29,59,89,208,NULL
973,30,60,90,264,NULL
974,7,24,48,321,NULL
975,2,32,54,321,NULL
976,10,10,10,10,NULL
977,29,59,89,364,NULL
978,29,59,89,364,NULL
979,29,59,89,364,NULL
980,8,20,20,20,NULL
981,2,2,2,153,NULL
982,22,52,82,357,NULL
983,11,21,21,21,NULL
984,8,18,18,18,NULL
985,9,19,19,19,NULL
986,29,59,89,364,NULL
987,30,60,90,180,NULL
988,30,60,90,242,NULL
989,0,0,0,0,NULL
990,29,59,89,364,NULL
991,15,40,70,345,NULL
992,23,36,36,36,NULL
993,29,59,89,364,NULL
994,0,0,0,74,NULL
995,17,17,17,279,NULL
