id,listing_url,name,host_id,host_url,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,    price    ,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,reviews_per_month
97889,https://www.airbnb.com/rooms/97889,"""At-my-place"" Ballaro’  Palermo Storica",517472,https://www.airbnb.com/users/show/517472,Stefano,4/18/2011,"Rome, Italy",within an hour,100%,91%,t,7,7,t,Palermo,38.11057,13.36188,Entire rental unit,Entire home/apt,3,1,1,1,44,4,30,28,58,88,96,43,0,0,9/27/2012,5/22/2024,4.63,4.67,4.51,4.77,4.86,4.49,4.6,IT082053C2RGMI40HT,f,0.27
98868,https://www.airbnb.com/rooms/98868,Bed and Breakfast between Etna and,521161,https://www.airbnb.com/users/show/521161,Rosa,4/19/2011,"Linguaglossa, Italy",within a few hours,100%,100%,f,6,6,t,Linguaglossa,37.84166,15.13854,Private room in bed and breakfast,Private room,4,2,2,3,181,1,1125,0,27,49,289,35,0,0,10/14/2012,1/1/2023,4.89,4.76,4.85,4.94,4.91,4.74,4.89,IT087021C1F8HTET3D,t,0.22
98914,https://www.airbnb.com/rooms/98914,Libeccio Studio  - 2 sleeps - Kitchnette,521347,https://www.airbnb.com/users/show/521347,Paola,4/19/2011,"Modica, Italy",within an hour,100%,100%,t,5,5,t,Modica,36.82272,14.74002,Entire home,Entire home/apt,2,1,1,1,58,2,30,4,6,6,163,25,4,1,8/30/2014,9/6/2025,4.84,4.88,4.88,4.92,4.88,4.76,4.96,IT088006B4TINP5VFN,t,0.19
101815,https://www.airbnb.com/rooms/101815,Case del limone di Corrado Fronte,533169,https://www.airbnb.com/users/show/533169,Corrado,4/25/2011,"Avola, Italy",N/A,N/A,100%,f,3,3,t,Noto,36.85664,15.10996,Entire villa,Entire home/apt,6,2,2,4,111,5,28,14,16,25,25,1,0,0,7/1/2017,7/1/2017,5,5,5,5,5,5,5,IT089013C2OT9ADMW7,t,0.01
105253,https://www.airbnb.com/rooms/105253,Residence Suvarita,546681,https://www.airbnb.com/users/show/546681,Claudio,4/30/2011,"Bagheria, Italy",N/A,N/A,N/A,f,1,1,f,Altavilla Milicia,38.00318,13.59473,Entire villa,Entire home/apt,6,,4,,,31,730,0,0,0,0,0,0,0,,,,,,,,,,,f,
106233,https://www.airbnb.com/rooms/106233,Heart of Catania - LE GRAND BLEU,550718,https://www.airbnb.com/users/show/550718,Carmela,5/2/2011,"Catania, Italy",within a few hours,100%,100%,f,4,7,t,Catania,37.49964,15.07557,Private room in condo,Private room,2,2.5,1,1,34,31,1125,0,0,0,91,5,1,1,7/30/2012,9/12/2025,3.75,3.6,4.5,4,4.25,4.5,3.75,,f,0.03
308875,https://www.airbnb.com/rooms/308875,Room Almond to the Poggiofelice B&B ***,480381,https://www.airbnb.com/users/show/480381,Salvatore,4/3/2011,"Zafferana Etnea, Italy",N/A,N/A,N/A,f,1,1,t,Zafferana Etnea,37.66437,15.10142,Private room in bed and breakfast,Private room,3,,,,,3,14,0,0,0,0,2,0,0,7/7/2019,7/21/2024,4.5,5,5,5,5,5,5,IT087055C1XWNEO7YA,f,0.03
316354,https://www.airbnb.com/rooms/316354,Federico Secondo Suite,1624946,https://www.airbnb.com/users/show/1624946,Vincenzo,1/19/2012,"Palermo, Italy",N/A,N/A,N/A,f,1,1,t,Palermo,38.11642,13.35438,Private room in bed and breakfast,Private room,4,1,2,4,90,1,1125,11,41,71,346,15,0,0,9/5/2016,6/8/2023,4.73,4.33,4.6,4.8,4.6,4.67,4.67,IT082053c1r5a62eno,t,0.14
316866,https://www.airbnb.com/rooms/316866,Palazzo Giovanni B&B,1626971,https://www.airbnb.com/users/show/1626971,Silvio Maria Rosario,1/19/2012,"Acireale, Italy",N/A,N/A,N/A,f,2,5,t,Acireale,37.65547,15.18209,Private room in bed and breakfast,Private room,2,,,,,31,1125,21,22,22,22,0,0,0,,,,,,,,,,IT087004C18JGBSVSP,t,
324793,https://www.airbnb.com/rooms/324793,"""ORAMA""  NICE APARTMENT FRONT SEA",1661926,https://www.airbnb.com/users/show/1661926,Alfio,1/27/2012,"Taormina, Italy",within a few hours,100%,69%,t,5,9,t,Giardini-Naxos,37.82647,15.26881,Entire rental unit,Entire home/apt,6,1,2,4,94,2,365,5,32,62,288,96,22,3,3/7/2013,9/23/2025,4.89,4.94,4.98,4.97,5,4.87,4.89,IT083032C29ATFISFS,f,0.63
325363,https://www.airbnb.com/rooms/325363,"Chalet Tango, sea front, 2 guests. WIFI",1277823,https://www.airbnb.com/users/show/1277823,Teresa,10/11/2011,Italy,within an hour,100%,100%,t,4,7,t,San Vito Lo Capo,38.15252,12.76714,Entire vacation home,Entire home/apt,2,1,1,4,132,2,28,3,23,24,36,238,25,3,5/6/2014,9/26/2025,4.88,4.87,4.7,4.92,4.96,4.92,4.67,IT081020C2R3TGXZEX,f,1.71
326471,https://www.airbnb.com/rooms/326471,HOUSE OF THE MOON charm in Sicily,1669111,https://www.airbnb.com/users/show/1669111,Rosamaria,1/29/2012,"Rome, Italy",N/A,N/A,N/A,f,1,2,f,Modica,36.85805,14.76056,Entire rental unit,Entire home/apt,4,,2,,,31,365,0,0,0,0,2,0,0,6/6/2012,8/23/2012,5,4.5,3.5,4.5,4,4.5,4.5,,f,0.01
327309,https://www.airbnb.com/rooms/327309,Al mercato del Capo Palermo,1673165,https://www.airbnb.com/users/show/1673165,Maurizio,1/30/2012,"Palermo, Italy",within an hour,100%,100%,t,4,4,t,Palermo,38.11938,13.35447,Entire rental unit,Entire home/apt,6,2,2,5,59,2,365,7,7,11,263,216,7,1,6/23/2013,9/15/2025,4.73,4.81,4.73,4.91,4.88,4.8,4.84,IT082053C2M9VAETB4,t,1.45
329655,https://www.airbnb.com/rooms/329655,In Cefalù by Daniela,1678534,https://www.airbnb.com/users/show/1678534,Daniela,1/31/2012,"Palermo, Italy",within an hour,100%,100%,f,1,2,t,Cefal,38.03383,14.01412,Entire loft,Entire home/apt,4,1,0,4,67,3,30,5,30,60,251,190,28,4,7/5/2012,9/21/2025,4.45,4.54,4.41,4.68,4.7,4.88,4.49,IT082027C2C3E5WNDX,f,1.18
334955,https://www.airbnb.com/rooms/334955,VILLA +FOR IDEAL HOLIDAY +SUN+SEA+,1706045,https://www.airbnb.com/users/show/1706045,Mario,2/6/2012,"Alcamo, Italy",within an hour,100%,100%,t,1,1,t,Alcamo,38.03307,12.96286,Entire home,Entire home/apt,5,1,3,5,39,4,365,7,36,56,327,60,14,3,6/1/2012,9/28/2025,4.54,4.68,4.48,4.92,4.83,4.48,4.67,IT081001C2NH2A8OGG,f,0.37
46486,https://www.airbnb.com/rooms/46486,"6 km from Siracusa,nature & comfort",207959,https://www.airbnb.com/users/show/207959,La Frescura,8/21/2010,"Siracusa, Italy",N/A,N/A,N/A,f,2,4,f,Siracusa,37.0704,15.209,Entire rental unit,Entire home/apt,2,,1,,,31,730,0,0,0,0,0,0,0,,,,,,,,,,,f,
46487,https://www.airbnb.com/rooms/46487,Country house 6 km from Siracusa!,207959,https://www.airbnb.com/users/show/207959,La Frescura,8/21/2010,"Siracusa, Italy",N/A,N/A,N/A,f,2,4,f,Siracusa,37.07105,15.20463,Entire rental unit,Entire home/apt,2,,1,,,31,365,0,0,0,0,0,0,0,,,,,,,,,,,f,
47591,https://www.airbnb.com/rooms/47591,Little House Mount Etna,216054,https://www.airbnb.com/users/show/216054,Marina,8/29/2010,"Linguaglossa, Italy",within a day,90%,88%,t,1,1,t,Linguaglossa,37.84356,15.12804,Entire cottage,Entire home/apt,2,1,1,2,75,2,30,4,31,61,326,334,32,3,10/14/2011,9/14/2025,4.91,4.89,4.94,4.94,4.97,4.89,4.91,Exempt,f,1.96
49025,https://www.airbnb.com/rooms/49025,Appartamento le PalmeTra Taormina e Catania,223469,https://www.airbnb.com/users/show/223469,Salvatore,9/4/2010,"Santa Venerina, Italy",within an hour,100%,100%,t,2,3,t,Acireale,37.65542,15.14051,Entire vacation home,Entire home/apt,5,1,2,2,108,2,730,12,41,71,341,14,10,2,7/31/2017,9/24/2025,4.79,4.62,4.79,4.85,5,4.23,4.69,IT087048C298MCQDWT,t,0.14
49508,https://www.airbnb.com/rooms/49508,Palazzo Cattolica Art-Apartment,225667,https://www.airbnb.com/users/show/225667,Antonio,9/6/2010,"Palermo, Italy",within an hour,100%,100%,t,2,3,t,Palermo,38.1162,13.36631,Entire rental unit,Entire home/apt,3,1,2,2,96,3,28,0,14,35,264,531,45,2,5/23/2011,9/11/2025,4.84,4.8,4.83,4.9,4.89,4.93,4.8,IT082053C29X4YF3LV,t,3.04
335536,https://www.airbnb.com/rooms/335536,pour découvrir la Sicile autrement,1708097,https://www.airbnb.com/users/show/1708097,Stella,2/6/2012,"Obernai, France",N/A,N/A,0%,f,1,3,t,Ragusa,36.92702,14.73377,Entire vacation home,Entire home/apt,4,2.5,2,4,44,31,31,28,58,88,178,0,0,0,,,,,,,,,,,f,
338837,https://www.airbnb.com/rooms/338837,KiteSurf Salinas,1720823,https://www.airbnb.com/users/show/1720823,Gabriele,2/8/2012,"Florence, Italy",within a few hours,100%,98%,t,3,4,t,Marsala,37.8308,12.46872,Entire vacation home,Entire home/apt,4,1,1,2,69,3,720,11,16,16,196,140,13,1,6/11/2014,9/6/2025,4.51,4.51,4.41,4.87,4.88,4.55,4.45,IT081011C2BAS4IERL,t,1.02
339258,https://www.airbnb.com/rooms/339258,Camere in pieno centro,689898,https://www.airbnb.com/users/show/689898,Girolamo,6/11/2011,"Trapani, Italy",within a day,60%,38%,f,2,2,t,Trapani,38.01593,12.51364,Private room in home,Private room,4,4,4,7,32,1,1125,18,48,78,350,30,12,2,7/27/2013,9/8/2025,4.52,4.64,4.5,4.72,4.76,4.76,4.69,IT081021B4764JYL4V,f,0.2
339549,https://www.airbnb.com/rooms/339549,OLIVELLA SUITE -- ECOLOGICAL HOUSE,4170634,https://www.airbnb.com/users/show/4170634,Olivella Suite --,11/17/2012,"Palermo, Italy",within an hour,100%,100%,f,1,4,t,Palermo,38.12096,13.36036,Entire rental unit,Entire home/apt,6,1,2,3,61,1,1125,19,49,79,354,137,10,0,10/26/2012,8/29/2025,4.56,4.62,4.55,4.81,4.85,4.96,4.63,IT082053C2RQX3HV2L,t,0.87
343186,https://www.airbnb.com/rooms/343186,Room with terrace in the city center,523322,https://www.airbnb.com/users/show/523322,Giulia,4/20/2011,"Palermo, Italy",N/A,N/A,N/A,f,1,3,f,Palermo,38.12485,13.36157,Private room in condo,Private room,2,1,1,3,50,31,60,28,58,88,363,4,0,0,7/10/2013,8/28/2013,4.25,4.5,3.75,4,3.75,4.5,4.25,,f,0.03
346571,https://www.airbnb.com/rooms/346571,"Villa Cala Cuticchi, Sea Front, Wi-Fi, Parking",1756995,https://www.airbnb.com/users/show/1756995,Ilva,2/15/2012,"Scicli, Italy",N/A,N/A,N/A,f,1,1,t,Scicli,36.76616,14.6244,Entire vacation home,Entire home/apt,10,4,4,6,277,6,14,28,32,32,214,23,0,0,10/9/2014,9/4/2024,4.83,4.87,5,4.96,4.87,4.57,4.78,IT088011C2ACQTI7FD,t,0.17
349453,https://www.airbnb.com/rooms/349453,Holiday House by the sea Sicilia,1755746,https://www.airbnb.com/users/show/1755746,Sul Mare Casa Vacanza,2/15/2012,"Capo d'Orlando, Italy",within an hour,100%,100%,t,1,1,t,Capo d'Orlando,38.14279,14.72649,Entire vacation home,Entire home/apt,6,2.5,2,6,114,2,60,10,10,10,209,194,14,1,5/9/2012,9/20/2025,4.82,4.85,4.93,4.96,4.94,4.73,4.78,IT083009C2VEYFV5J2,f,1.19
353872,https://www.airbnb.com/rooms/353872,"LTB ""Casa e putia"" - Room 2 -Verde",1422918,https://www.airbnb.com/users/show/1422918,Francesco,11/19/2011,"Palermo, Italy",N/A,N/A,N/A,f,4,5,f,Palermo,38.1509,13.3301,Private room in rental unit,Private room,2,1,1,2,51,1,365,28,58,88,363,0,0,0,,,,,,,,,,IT082053C2HH0MRUL4,f,
353877,https://www.airbnb.com/rooms/353877,Antica dimora san Girolamo- Camera Singola,1293983,https://www.airbnb.com/users/show/1293983,Lavinia,10/15/2011,"Licata, Italy",within an hour,100%,100%,f,5,6,t,Licata,37.09825,13.93863,Private room in bed and breakfast,Private room,1,1,1,1,44,1,1125,24,49,76,341,7,3,1,7/26/2017,8/30/2025,5,5,4.71,4.86,4.71,5,4.86,IT084021B4FBYLJ79D,t,0.07
353885,https://www.airbnb.com/rooms/353885,"LTB ""Casa e putia"" - Room 3 Tripla",1422918,https://www.airbnb.com/users/show/1422918,Francesco,11/19/2011,"Palermo, Italy",N/A,N/A,N/A,f,4,5,f,Palermo,38.15037,13.33057,Private room in rental unit,Private room,3,1,1,3,63,1,365,28,58,88,363,0,0,0,,,,,,,,,,IT082053C2HH0MRUL4,f,
52806,https://www.airbnb.com/rooms/52806,Old Stone house in South East Sicily,244773,https://www.airbnb.com/users/show/244773,Elisabeth,9/25/2010,"Verona, Italy",within a day,100%,87%,t,1,5,t,Scicli,36.73961,14.75279,Entire villa,Entire home/apt,6,2,3,2,128,5,28,4,34,37,211,106,11,0,10/21/2012,8/9/2025,4.9,4.93,4.79,4.88,4.94,4.8,4.85,IT088011C2LZL47S6M,f,0.67
58664,https://www.airbnb.com/rooms/58664,"Levante, Holiday Home 100 mt from sea",278397,https://www.airbnb.com/users/show/278397,Pomelia,11/4/2010,"Marina di Ragusa, Italy",within an hour,100%,100%,t,64,73,t,Ragusa,36.78201,14.56759,Entire townhouse,Entire home/apt,4,1.5,2,2,93,2,1125,20,46,46,116,7,0,0,9/26/2011,9/7/2024,4.43,4,4.43,4.71,4.86,4.29,3.86,IT088009B48Z47IPE3,t,0.04
58665,https://www.airbnb.com/rooms/58665,"Scirocco, casa vacanze a 100 m dal mare, 6 p.",278397,https://www.airbnb.com/users/show/278397,Pomelia,11/4/2010,"Marina di Ragusa, Italy",within an hour,100%,100%,t,64,73,t,Ragusa,36.78184,14.56765,Entire townhouse,Entire home/apt,6,1.5,3,1,114,2,1125,18,44,44,111,12,2,0,6/4/2017,6/10/2025,4.58,4.42,4.58,4.75,4.5,4.75,4.58,IT088009B48Z47IPE3,t,0.12
106236,https://www.airbnb.com/rooms/106236,SUITE  DREAMS - Room in the heart of Catania,550718,https://www.airbnb.com/users/show/550718,Carmela,5/2/2011,"Catania, Italy",within a few hours,100%,100%,f,4,7,t,Catania,37.49907,15.07651,Private room in rental unit,Private room,4,2,1,3,34,31,730,0,0,0,91,20,0,0,8/3/2011,8/30/2024,4.32,4.35,4.24,4.29,4.47,3.88,4.18,,f,0.12
110070,https://www.airbnb.com/rooms/110070,THE PERFECT PLACE - exclusive use of the house,566669,https://www.airbnb.com/users/show/566669,Daniela,5/8/2011,"Rome, Italy",within an hour,100%,38%,t,1,3,t,Pantelleria,36.81007,11.9861,Dammuso,Entire home/apt,7,3,3,5,180,3,365,22,52,82,332,102,7,0,6/10/2013,8/21/2025,4.85,4.88,4.6,4.87,4.93,4.9,4.75,IT081014C25MUNZC8V,f,0.68
116084,https://www.airbnb.com/rooms/116084,Stanza Privata 3,586713,https://www.airbnb.com/users/show/586713,Oriana,5/14/2011,"Agrigento, Italy",N/A,N/A,100%,f,3,3,t,Agrigento,37.31216,13.57596,Private room in bed and breakfast,Private room,2,,,,,31,1125,0,0,0,273,65,0,0,6/10/2015,6/13/2024,4.63,4.77,4.83,4.71,4.87,4.62,4.56,,t,0.52
117009,https://www.airbnb.com/rooms/117009,new apartment,591103,https://www.airbnb.com/users/show/591103,Tommy,5/15/2011,,N/A,N/A,N/A,f,1,1,f,Modica,36.84416,14.7696,Entire rental unit,Entire home/apt,2,,1,,,31,730,0,0,0,0,0,0,0,,,,,,,,,,,f,
122032,https://www.airbnb.com/rooms/122032,Apartament with kitchen white,612309,https://www.airbnb.com/users/show/612309,Carmelo,5/22/2011,"Letojanni, Italy",within a day,50%,0%,f,15,15,f,Letojanni,37.88078,15.30843,Private room in rental unit,Private room,4,1,1,4,63,31,60,30,60,90,365,3,0,0,6/20/2012,9/13/2013,4.5,4.67,4,4.67,4.67,5,4.33,,f,0.02
123314,https://www.airbnb.com/rooms/123314,The best holiday accomodation,616576,https://www.airbnb.com/users/show/616576,John,5/23/2011,"Catania, Italy",N/A,N/A,N/A,f,1,4,f,Belpasso,37.58682,14.9757,Private room in home,Private room,4,1,1,1,54,1,27,29,59,89,179,0,0,0,,,,,,,,,,IT087007C12GIHJEIA,f,
128446,https://www.airbnb.com/rooms/128446,Apartment in country house -Trapani,496525402,https://www.airbnb.com/users/show/496525402,Giorgio,1/17/2023,,N/A,N/A,N/A,f,2,2,t,Valderice,38.00598,12.6293,Entire guest suite,Entire home/apt,4,2,2,2,106,3,365,13,43,46,46,1,0,0,8/15/2014,8/15/2014,4,5,5,5,3,4,4,IT081022C269KN4MLQ,f,0.01
128518,https://www.airbnb.com/rooms/128518,Villetta a 5 minuti dal mare.,635383,https://www.airbnb.com/users/show/635383,Antonino,5/28/2011,,N/A,N/A,N/A,f,1,3,f,Acquedolci,38.05449,14.58421,Entire villa,Entire home/apt,6,,2,,,31,730,0,0,0,0,0,0,0,,,,,,,,,,,f,
128744,https://www.airbnb.com/rooms/128744,Villa with swimming pool and tennis court,626152,https://www.airbnb.com/users/show/626152,Daniela,5/25/2011,"Siena, Italy",within an hour,100%,100%,t,8,8,t,Avola,36.95152,15.10586,Entire villa,Entire home/apt,9,2,3,6,204,7,1124,24,36,45,45,49,1,1,8/31/2013,9/3/2025,4.63,4.67,4.76,4.88,4.9,4.35,4.57,IT089002C2YA3XIXGQ,t,0.33
132815,https://www.airbnb.com/rooms/132815,Great Value Couple's Apartment,652582,https://www.airbnb.com/users/show/652582,Pascale,6/1/2011,"Sciacca, Italy",within an hour,100%,86%,t,5,5,t,Sciacca,37.52395,13.09152,Entire rental unit,Entire home/apt,2,1,1,1,62,3,30,15,45,75,350,56,11,1,10/9/2013,9/10/2025,4.95,4.91,4.91,4.89,4.95,4.79,4.98,IT084041C2SGINVC9P,f,0.38
135494,https://www.airbnb.com/rooms/135494,AMMIRAGLIA 140mq,669232,https://www.airbnb.com/users/show/669232,Giuseppe,6/6/2011,"Catania, Italy",within an hour,100%,99%,f,5,5,t,Catania,37.50064,15.0852,Entire vacation home,Entire home/apt,8,2,3,4,127,1,365,7,29,52,307,105,21,0,2/3/2019,8/30/2025,4.5,4.46,4.62,4.56,4.56,4.71,4.58,IT087015C2CIK6KZNS,t,1.29
136725,https://www.airbnb.com/rooms/136725,AMURI  40mq,669232,https://www.airbnb.com/users/show/669232,Giuseppe,6/6/2011,"Catania, Italy",within an hour,100%,99%,f,5,5,t,Catania,37.49924,15.08583,Private room in rental unit,Private room,4,1.5,1,2,88,1,365,4,16,45,313,206,2,0,8/2/2011,10/14/2024,4.82,4.85,4.88,4.93,4.91,4.84,4.8,IT087015C2CIK6KZNS,t,1.19
137012,https://www.airbnb.com/rooms/137012,INCANTO 60mq,669232,https://www.airbnb.com/users/show/669232,Giuseppe,6/6/2011,"Catania, Italy",within an hour,100%,99%,f,5,5,t,Catania,37.50086,15.08597,Private room in rental unit,Private room,4,1.5,1,1,97,1,365,4,28,58,327,124,4,0,9/26/2013,3/19/2025,4.89,4.88,4.87,4.93,4.92,4.94,4.79,IT087015C2CIK6KZNS,f,0.85
356890,https://www.airbnb.com/rooms/356890,"La Salinella, city center with Parking and WiFi",1179831,https://www.airbnb.com/users/show/1179831,Alessandra,9/19/2011,"Marsala, Italy",within an hour,100%,72%,t,4,5,t,Marsala,37.80526,12.43571,Entire rental unit,Entire home/apt,4,1,1,3,48,3,500,24,54,84,343,35,6,2,5/7/2014,9/27/2025,4.57,4.54,4.77,4.83,4.86,4.46,4.49,IT081011C295CBVBVM,f,0.25
356891,https://www.airbnb.com/rooms/356891,"Central with Balcony, Parking, Wifi. Best location",1179831,https://www.airbnb.com/users/show/1179831,Alessandra,9/19/2011,"Marsala, Italy",within an hour,100%,72%,t,4,5,t,Marsala,37.80508,12.43535,Entire rental unit,Entire home/apt,2,1,1,1,52,3,500,19,49,79,323,59,10,1,7/5/2013,9/5/2025,4.9,4.91,4.95,4.96,5,4.71,4.89,IT081011C295CBVBVM,f,0.4
359066,https://www.airbnb.com/rooms/359066,Casanelblu: a magic house looking at the sea,900963,https://www.airbnb.com/users/show/900963,Giulia,8/1/2011,"Siena, Italy",within a day,77%,62%,t,2,2,t,Lipari,38.54255,14.34901,Entire home,Entire home/apt,7,1.5,4,3,135,4,60,8,35,57,215,118,9,0,7/14/2012,7/20/2025,4.92,4.89,4.72,4.95,4.93,4.94,4.8,IT083041C2297DJBDD,f,0.73
359263,https://www.airbnb.com/rooms/359263,"Sicilian home with sea view, private sea access",1817944,https://www.airbnb.com/users/show/1817944,Giulia,2/27/2012,"Syracuse, Italy",within an hour,100%,93%,f,2,5,t,Siracusa,37.07445,15.29417,Entire condo,Entire home/apt,4,2,2,4,191,2,730,0,0,0,273,68,5,0,9/14/2012,7/30/2025,4.78,4.84,4.66,4.88,4.9,4.82,4.69,It19089017C234936,t,0.43
361200,https://www.airbnb.com/rooms/361200,"""The Casuzze"" town centre Drills",1790485,https://www.airbnb.com/users/show/1790485,Enzo,2/22/2012,"Trapani, Italy",within an hour,100%,100%,f,1,8,t,Trapani,38.01638,12.50525,Entire rental unit,Entire home/apt,2,1,1,1,56,3,1125,11,41,71,74,201,12,1,6/22/2012,9/6/2025,4.77,4.83,4.74,4.93,4.93,4.93,4.72,IT19081021C207193,f,1.24
